"ID","TABLE","FIELD","OLD_VALUE","NEO_VALUE","STATUS","FLAGS","NOTES"
"CRTX.OBJTY","CRTX","OBJTY","PP-PI#5:key=PK/FK|dt=CHAR|len=2","key=PK/FK|dt=CHAR|len=2|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; key=""PK/FK"": OLD /object/CRTX lists it as PK, /neo/tables/CRTX lists it as PK+FK, /neo/object/CRTX lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"CRVD_A.OBJTY","CRVD_A","OBJTY","PP-PI#5:key=PK/FK|dt=CHAR|len=2","key=PK/FK|dt=CHAR|len=2|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=3 neo=3; key=""PK/FK"": OLD /object/CRVD_A lists it as PK, /neo/tables/CRVD_A lists it as PK+FK, /neo/object/CRVD_A lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"CRVD_A.OBJID","CRVD_A","OBJID","PP-PI#5:key=PK/FK|dt=NUMC|len=8","key=PK/FK|dt=NUMC|len=8|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=3 neo=3; key=""PK/FK"": OLD /object/CRVD_A lists it as PK, /neo/tables/CRVD_A lists it as PK+FK, /neo/object/CRVD_A lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"CRVD_A.STEUS","CRVD_A","STEUS","PP-PI#5:key=FK|dt=CHAR|len=4","key=FK|dt=CHAR|len=4|mods=PP-PI","EXACT","—","table_fields old_union=3 neo=3"
"CSLA.LSTAR","CSLA","LSTAR","PP-PI#5:key=PK|dt=CHAR|len=6","key=PK|dt=CHAR|len=6|mods=PP-PI","EXACT","—","table_fields old_union=3 neo=3"
"CSLA.KOKRS","CSLA","KOKRS","PP-PI#5:key=PK|dt=CHAR|len=4","key=PK|dt=CHAR|len=4|mods=PP-PI","EXACT","—","table_fields old_union=3 neo=3"
"CSLA.LEINH","CSLA","LEINH","PP-PI#5:key=-|dt=UNIT|len=3","key=-|dt=UNIT|len=3|mods=PP-PI","EXACT","—","table_fields old_union=3 neo=3"
"EBAN.BANFN","EBAN","BANFN","PM#9:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"EBAN.BNFPO","EBAN","BNFPO","PM#9:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"EBAN.MATNR","EBAN","MATNR","PM#9:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"EBAN.KNTTP","EBAN","KNTTP","PM#9:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"EBAN.MENGE","EBAN","MENGE","PM#9:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"EBKN.BANFN","EBKN","BANFN","PM#9:key=PK/FK|dt=|len=","key=PK/FK|dt=|len=|mods=PM","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=5 neo=5; key=""PK/FK"": OLD /object/EBKN lists it as PK, /neo/tables/EBKN lists it as PK+FK, /neo/object/EBKN lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"EBKN.BNFPO","EBKN","BNFPO","PM#9:key=PK/FK|dt=|len=","key=PK/FK|dt=|len=|mods=PM","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=5 neo=5; key=""PK/FK"": OLD /object/EBKN lists it as PK, /neo/tables/EBKN lists it as PK+FK, /neo/object/EBKN lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"EBKN.AUFNR","EBKN","AUFNR","PM#9:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"EBKN.KOSTL","EBKN","KOSTL","PM#9:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"EBKN.SAKTO","EBKN","SAKTO","PM#9:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"EQKT.EQUNR","EQKT","EQUNR","PM#2:key=PK/FK|dt=|len=","key=PK/FK|dt=|len=|mods=PM","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=3 neo=3; key=""PK/FK"": OLD /object/EQKT lists it as PK, /neo/tables/EQKT lists it as PK+FK, /neo/object/EQKT lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"EQKT.SPRAS","EQKT","SPRAS","PM#2:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=3 neo=3"
"EQKT.EQKTX","EQKT","EQKTX","PM#2:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=3 neo=3"
"EQST.EQUNR","EQST","EQUNR","PM#3:key=PK/FK|dt=|len=","key=PK/FK|dt=|len=|mods=PM","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; key=""PK/FK"": OLD /object/EQST lists it as PK, /neo/tables/EQST lists it as PK+FK, /neo/object/EQST lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"EQST.STLNR","EQST","STLNR","PM#3:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=4 neo=4"
"EQST.STLAL","EQST","STLAL","PM#3:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=4 neo=4"
"EQST.STLAN","EQST","STLAN","PM#3:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=4 neo=4"
"EQUI.EQUNR","EQUI","EQUNR","PM#2:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"EQUI.EQTYP","EQUI","EQTYP","PM#2:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"EQUI.EQART","EQUI","EQART","PM#2:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"EQUI.HERST","EQUI","HERST","PM#2:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"EQUI.TYPBZ","EQUI","TYPBZ","PM#2:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"EQUI.OBJNR","EQUI","OBJNR","PM#2:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"EQUZ.EQUNR","EQUZ","EQUNR","PM#2:key=PK/FK|dt=|len=","key=PK/FK|dt=|len=|mods=PM","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=5 neo=5; key=""PK/FK"": OLD /object/EQUZ lists it as PK, /neo/tables/EQUZ lists it as PK+FK, /neo/object/EQUZ lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"EQUZ.DATBI","EQUZ","DATBI","PM#2:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"EQUZ.HEQUI","EQUZ","HEQUI","PM#2:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"EQUZ.ILOAN","EQUZ","ILOAN","PM#2:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"EQUZ.EQLFN","EQUZ","EQLFN","PM#2:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"FHMI.PLNTY","FHMI","PLNTY","PP-PI#3:key=PK/FK|dt=CHAR|len=1","key=PK/FK|dt=CHAR|len=1|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; key=""PK/FK"": OLD /object/FHMI lists it as PK, /neo/tables/FHMI lists it as PK+FK, /neo/object/FHMI lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"FHMI.PLNNR","FHMI","PLNNR","PP-PI#3:key=PK/FK|dt=CHAR|len=8","key=PK/FK|dt=CHAR|len=8|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; key=""PK/FK"": OLD /object/FHMI lists it as PK, /neo/tables/FHMI lists it as PK+FK, /neo/object/FHMI lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"FHMI.PLNKN","FHMI","PLNKN","PP-PI#3:key=FK|dt=NUMC|len=8","key=FK|dt=NUMC|len=8|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"FHMI.FHMNR","FHMI","FHMNR","PP-PI#3:key=FK|dt=CHAR|len=18","key=FK|dt=CHAR|len=18|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"IFLOS.TPLNR","IFLOS","TPLNR","PM#1:key=PK/FK|dt=|len=","key=PK/FK|dt=|len=|mods=PM","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=5 neo=5; key=""PK/FK"": OLD /object/IFLOS lists it as PK, /neo/tables/IFLOS lists it as PK+FK, /neo/object/IFLOS lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"IFLOS.STRNO","IFLOS","STRNO","PM#1:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"IFLOS.TPLKZ","IFLOS","TPLKZ","PM#1:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"IFLOS.TPLVL","IFLOS","TPLVL","PM#1:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"IFLOS.BEGRU","IFLOS","BEGRU","PM#1:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=5 neo=5"
"IFLOT.TPLNR","IFLOT","TPLNR","PM#1:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"IFLOT.STRNO","IFLOT","STRNO","PM#1:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"IFLOT.FLTYP","IFLOT","FLTYP","PM#1:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"IFLOT.TPLKZ","IFLOT","TPLKZ","PM#1:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"IFLOT.TPLMA","IFLOT","TPLMA","PM#1:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"IFLOT.OBJNR","IFLOT","OBJNR","PM#1:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"ILOA.ILOAN","ILOA","ILOAN","PM#1:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"ILOA.KOSTL","ILOA","KOSTL","PM#1:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"ILOA.SWERK","ILOA","SWERK","PM#1:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"ILOA.INGRP","ILOA","INGRP","PM#1:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"ILOA.GEWRK","ILOA","GEWRK","PM#1:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"ILOA.TPLNR","ILOA","TPLNR","PM#1:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"IMPTT.POINT","IMPTT","POINT","PM#4:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"IMPTT.MPOBJ","IMPTT","MPOBJ","PM#4:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"IMPTT.MPTYP","IMPTT","MPTYP","PM#4:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"IMPTT.ATINN","IMPTT","ATINN","PM#4:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"IMPTT.INDCT","IMPTT","INDCT","PM#4:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"IMPTT.DECIM","IMPTT","DECIM","PM#4:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"IMRG.MDOCM","IMRG","MDOCM","PM#4:key=PK|dt=|len=","key=PK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"IMRG.POINT","IMRG","POINT","PM#4:key=FK|dt=|len=","key=FK|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"IMRG.RECDV","IMRG","RECDV","PM#4:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"IMRG.READG","IMRG","READG","PM#4:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"IMRG.CNTRR","IMRG","CNTRR","PM#4:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"IMRG.CDIFF","IMRG","CDIFF","PM#4:key=-|dt=|len=","key=-|dt=|len=|mods=PM","EXACT","—","table_fields old_union=6 neo=6"
"JEST.OBJNR","JEST","OBJNR","PM#8:key=PK|dt=|len= ;; PP-PI#7:key=PK|dt=CHAR|len=22","key=PK|dt=CHAR|len=22|mods=PM+PP-PI","EXACT","—","table_fields old_union=4 neo=4; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"JEST.STAT","JEST","STAT","PM#8:key=PK|dt=|len= ;; PP-PI#7:key=PK|dt=CHAR|len=5","key=PK|dt=CHAR|len=5|mods=PM+PP-PI","EXACT","—","table_fields old_union=4 neo=4; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"JEST.INACT","JEST","INACT","PM#8:key=-|dt=|len= ;; PP-PI#7:key=-|dt=CHAR|len=1","key=-|dt=CHAR|len=1|mods=PM+PP-PI","EXACT","—","table_fields old_union=4 neo=4; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"JEST.CHGNR","JEST","CHGNR","PM#8:key=-|dt=|len= ;; PP-PI#7:key=-|dt=CHAR|len=6","key=-|dt=CHAR|len=6|mods=PM+PP-PI","EXACT","—","table_fields old_union=4 neo=4; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"JSTO.OBJNR","JSTO","OBJNR","PM#8:key=PK|dt=|len= ;; PP-PI#7:key=PK|dt=CHAR|len=22","key=PK|dt=CHAR|len=22|mods=PM+PP-PI","EXACT","—","table_fields old_union=4 neo=4; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"JSTO.STSMA","JSTO","STSMA","PM#8:key=FK|dt=|len= ;; PP-PI#7:key=FK|dt=CHAR|len=8","key=FK|dt=CHAR|len=8|mods=PM+PP-PI","EXACT","—","table_fields old_union=4 neo=4; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"JSTO.OBTYP","JSTO","OBTYP","PM#8:key=-|dt=|len= ;; PP-PI#7:key=-|dt=CHAR|len=2","key=-|dt=CHAR|len=2|mods=PM+PP-PI","EXACT","—","table_fields old_union=4 neo=4; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"JSTO.CHGKZ","JSTO","CHGKZ","PM#8:key=-|dt=|len= ;; PP-PI#7:key=-|dt=CHAR|len=1","key=-|dt=CHAR|len=1|mods=PM+PP-PI","EXACT","—","table_fields old_union=4 neo=4; documented by 2 dictionary rows, merged by mergedFields(); all stated attributes agree"
"KAKO.KAPID","KAKO","KAPID","PP-PI#5:key=PK|dt=NUMC|len=8","key=PK|dt=NUMC|len=8|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"KAKO.KAPAR","KAKO","KAPAR","PP-PI#5:key=-|dt=CHAR|len=3","key=-|dt=CHAR|len=3|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"KAKO.AZNOR","KAKO","AZNOR","PP-PI#5:key=-|dt=DEC|len=3","key=-|dt=DEC|len=3|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"KAKO.NGRAD","KAKO","NGRAD","PP-PI#5:key=-|dt=DEC|len=3","key=-|dt=DEC|len=3|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"KAZT.KAPID","KAZT","KAPID","PP-PI#5:key=PK/FK|dt=NUMC|len=8","key=PK/FK|dt=NUMC|len=8|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=6 neo=6; key=""PK/FK"": OLD /object/KAZT lists it as PK, /neo/tables/KAZT lists it as PK+FK, /neo/object/KAZT lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"KAZT.VERSN","KAZT","VERSN","PP-PI#5:key=PK|dt=NUMC|len=3","key=PK|dt=NUMC|len=3|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"KAZT.TPROG","KAZT","TPROG","PP-PI#5:key=-|dt=CHAR|len=2","key=-|dt=CHAR|len=2|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"KAZT.BEGZT","KAZT","BEGZT","PP-PI#5:key=-|dt=TIMS|len=6","key=-|dt=TIMS|len=6|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"KAZT.ENDZT","KAZT","ENDZT","PP-PI#5:key=-|dt=TIMS|len=6","key=-|dt=TIMS|len=6|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"KAZT.KAPAZ","KAZT","KAPAZ","PP-PI#5:key=-|dt=DEC|len=11","key=-|dt=DEC|len=11|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"KDST.VBELN","KDST","VBELN","PP-PI#2:key=PK|dt=CHAR|len=10","key=PK|dt=CHAR|len=10|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"KDST.POSNR","KDST","POSNR","PP-PI#2:key=PK|dt=NUMC|len=6","key=PK|dt=NUMC|len=6|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"KDST.MATNR","KDST","MATNR","PP-PI#2:key=FK|dt=CHAR|len=18->40","key=FK|dt=CHAR|len=18->40|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"KDST.STLNR","KDST","STLNR","PP-PI#2:key=FK|dt=CHAR|len=8","key=FK|dt=CHAR|len=8|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"MAKT.MATNR","MAKT","MATNR","PP-PI#1:key=PK/FK|dt=CHAR|len=18->40","key=PK/FK|dt=CHAR|len=18->40|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=4 neo=4; key=""PK/FK"": OLD /object/MAKT lists it as PK, /neo/tables/MAKT lists it as PK+FK, /neo/object/MAKT lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"MAKT.SPRAS","MAKT","SPRAS","PP-PI#1:key=PK|dt=LANG|len=1","key=PK|dt=LANG|len=1|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"MAKT.MAKTX","MAKT","MAKTX","PP-PI#1:key=-|dt=CHAR|len=40","key=-|dt=CHAR|len=40|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"MAKT.MAKTG","MAKT","MAKTG","PP-PI#1:key=-|dt=CHAR|len=40","key=-|dt=CHAR|len=40|mods=PP-PI","EXACT","—","table_fields old_union=4 neo=4"
"MAPL.MATNR","MAPL","MATNR","PP-PI#3:key=PK|dt=CHAR|len=18->40","key=PK|dt=CHAR|len=18->40|mods=PP-PI","EXACT","—","table_fields old_union=5 neo=5"
"MAPL.WERKS","MAPL","WERKS","PP-PI#3:key=PK|dt=CHAR|len=4","key=PK|dt=CHAR|len=4|mods=PP-PI","EXACT","—","table_fields old_union=5 neo=5"
"MAPL.PLNTY","MAPL","PLNTY","PP-PI#3:key=PK|dt=CHAR|len=1","key=PK|dt=CHAR|len=1|mods=PP-PI","EXACT","—","table_fields old_union=5 neo=5"
"MAPL.PLNNR","MAPL","PLNNR","PP-PI#3:key=PK|dt=CHAR|len=8","key=PK|dt=CHAR|len=8|mods=PP-PI","EXACT","—","table_fields old_union=5 neo=5"
"MAPL.PLNAL","MAPL","PLNAL","PP-PI#3:key=PK|dt=CHAR|len=2","key=PK|dt=CHAR|len=2|mods=PP-PI","EXACT","—","table_fields old_union=5 neo=5"
"MARA.MATNR","MARA","MATNR","PP-PI#1:key=PK|dt=CHAR|len=18->40","key=PK|dt=CHAR|len=18->40|mods=PP-PI","EXACT","—","table_fields old_union=8 neo=8"
"MARA.MTART","MARA","MTART","PP-PI#1:key=FK|dt=CHAR|len=4","key=FK|dt=CHAR|len=4|mods=PP-PI","EXACT","—","table_fields old_union=8 neo=8"
"MARA.MEINS","MARA","MEINS","PP-PI#1:key=FK|dt=UNIT|len=3","key=FK|dt=UNIT|len=3|mods=PP-PI","EXACT","—","table_fields old_union=8 neo=8"
"MARA.MATKL","MARA","MATKL","PP-PI#1:key=FK|dt=CHAR|len=9","key=FK|dt=CHAR|len=9|mods=PP-PI","EXACT","—","table_fields old_union=8 neo=8"
"MARA.GROES","MARA","GROES","PP-PI#1:key=-|dt=CHAR|len=32","key=-|dt=CHAR|len=32|mods=PP-PI","EXACT","—","table_fields old_union=8 neo=8"
"MARA.BRGEW","MARA","BRGEW","PP-PI#1:key=-|dt=QUAN|len=13","key=-|dt=QUAN|len=13|mods=PP-PI","EXACT","—","table_fields old_union=8 neo=8"
"MARA.NTGEW","MARA","NTGEW","PP-PI#1:key=-|dt=QUAN|len=13","key=-|dt=QUAN|len=13|mods=PP-PI","EXACT","—","table_fields old_union=8 neo=8"
"MARA.XCHPF","MARA","XCHPF","PP-PI#1:key=-|dt=CHAR|len=1","key=-|dt=CHAR|len=1|mods=PP-PI","EXACT","—","table_fields old_union=8 neo=8"
"MARC.MATNR","MARC","MATNR","PP-PI#1:key=PK|dt=CHAR|len=18->40","key=PK|dt=CHAR|len=18->40|mods=PP-PI","EXACT","—","table_fields old_union=8 neo=8"
"MARC.WERKS","MARC","WERKS","PP-PI#1:key=PK|dt=CHAR|len=4","key=PK|dt=CHAR|len=4|mods=PP-PI","EXACT","—","table_fields old_union=8 neo=8"
"MARC.DISPO","MARC","DISPO","PP-PI#1:key=FK|dt=CHAR|len=3","key=FK|dt=CHAR|len=3|mods=PP-PI","EXACT","—","table_fields old_union=8 neo=8"
"MARC.DISMM","MARC","DISMM","PP-PI#1:key=-|dt=CHAR|len=2","key=-|dt=CHAR|len=2|mods=PP-PI","EXACT","—","table_fields old_union=8 neo=8"
"MARC.BESKZ","MARC","BESKZ","PP-PI#1:key=-|dt=CHAR|len=1","key=-|dt=CHAR|len=1|mods=PP-PI","EXACT","—","table_fields old_union=8 neo=8"
"MARC.SOBSL","MARC","SOBSL","PP-PI#1:key=-|dt=CHAR|len=2","key=-|dt=CHAR|len=2|mods=PP-PI","EXACT","—","table_fields old_union=8 neo=8"
"MARC.FEVOR","MARC","FEVOR","PP-PI#1:key=FK|dt=CHAR|len=3","key=FK|dt=CHAR|len=3|mods=PP-PI","EXACT","—","table_fields old_union=8 neo=8"
"MARC.SERNP","MARC","SERNP","PP-PI#1:key=-|dt=CHAR|len=4","key=-|dt=CHAR|len=4|mods=PP-PI","EXACT","—","table_fields old_union=8 neo=8"
"MARD.MATNR","MARD","MATNR","PP-PI#1:key=PK|dt=CHAR|len=18->40","key=PK|dt=CHAR|len=18->40|mods=PP-PI","EXACT","—","table_fields old_union=5 neo=5"
"MARD.WERKS","MARD","WERKS","PP-PI#1:key=PK|dt=CHAR|len=4","key=PK|dt=CHAR|len=4|mods=PP-PI","EXACT","—","table_fields old_union=5 neo=5"
"MARD.LGORT","MARD","LGORT","PP-PI#1:key=PK|dt=CHAR|len=4","key=PK|dt=CHAR|len=4|mods=PP-PI","EXACT","—","table_fields old_union=5 neo=5"
"MARD.LABST","MARD","LABST","PP-PI#1:key=-|dt=QUAN|len=13","key=-|dt=QUAN|len=13|mods=PP-PI","EXACT","—","table_fields old_union=5 neo=5"
"MARD.INSME","MARD","INSME","PP-PI#1:key=-|dt=QUAN|len=13","key=-|dt=QUAN|len=13|mods=PP-PI","EXACT","—","table_fields old_union=5 neo=5"
"MARM.MATNR","MARM","MATNR","PP-PI#1:key=PK/FK|dt=CHAR|len=18->40","key=PK/FK|dt=CHAR|len=18->40|mods=PP-PI","TRANSFORMED","PKFK_DROPPED_FROM_NEO_OBJECT_KEYLIST","table_fields old_union=6 neo=6; key=""PK/FK"": OLD /object/MARM lists it as PK, /neo/tables/MARM lists it as PK+FK, /neo/object/MARM lists it as NEITHER (model.nodes() filters key===""PK"" / key===""FK"" strictly). Field row itself and its key string survive on both NEO surfaces."
"MARM.MEINH","MARM","MEINH","PP-PI#1:key=PK|dt=UNIT|len=3","key=PK|dt=UNIT|len=3|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"MARM.UMREZ","MARM","UMREZ","PP-PI#1:key=-|dt=DEC|len=5","key=-|dt=DEC|len=5|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"MARM.UMREN","MARM","UMREN","PP-PI#1:key=-|dt=DEC|len=5","key=-|dt=DEC|len=5|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"MARM.EAN11","MARM","EAN11","PP-PI#1:key=-|dt=CHAR|len=18","key=-|dt=CHAR|len=18|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
"MARM.MESUB","MARM","MESUB","PP-PI#1:key=-|dt=UNIT|len=3","key=-|dt=UNIT|len=3|mods=PP-PI","EXACT","—","table_fields old_union=6 neo=6"
